ID,Education,Marital_Status,Income,Kidhome,Teenhome,Parent?,Dt_Customer,Month Joined,Year Joined,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Accepted or Not,Complain,Z_CostContact,Z_Revenue,Response,Age,AgeGroup,index,Frequency,Recency,Monetary,Cluster,R,F,M,RFM_SCORE,Segment
6019,PhD,Married,37126.0,1,0,1,30-03-2014,3,2014,45,3,9,4,4,7,1,1,2,2,6,1,0,0,0,0,1,0,3,11,1,43,41-50,0,6,9,72,0,5,1,2,512,512
10972,Graduation,Widow,72298.0,0,0,0,10-03-2014,3,2014,625,35,169,58,17,35,1,4,3,6,1,0,1,1,0,0,1,0,3,11,0,65,61-70,1,14,52,939,2,3,3,4,334,334
2909,PhD,Married,78128.0,0,1,1,19-02-2014,2,2014,934,24,230,16,24,36,2,8,4,6,3,0,1,1,0,0,1,0,3,11,0,40,41-50,2,20,89,1264,2,1,4,5,145,145
10129,Graduation,Together,82427.0,0,0,0,12-03-2014,3,2014,482,147,509,104,107,107,1,3,5,12,1,0,0,1,0,0,1,0,3,11,0,48,41-50,3,21,35,1456,1,4,4,5,445,445
8318,Graduation,Together,90300.0,0,0,0,03-01-2014,1,2014,594,134,786,33,134,57,0,5,6,8,1,0,0,1,0,0,1,0,3,11,0,35,31-40,4,19,7,1738,1,5,4,5,545,545
6864,Master,Divorced,10979.0,0,0,0,22-05-2014,5,2014,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,3,11,0,25,21-30,5,8,34,30,0,4,2,1,421,421
3152,Graduation,Together,26091.0,1,1,1,25-02-2014,2,2014,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,0,0,3,11,0,57,51-60,6,9,84,89,0,1,2,2,122,122
6961,Graduation,Married,26751.0,2,0,1,22-05-2014,5,2014,1,1,5,0,3,1,1,1,0,2,8,0,0,0,0,0,0,0,3,11,0,40,41-50,7,4,26,11,0,4,1,1,411,411
7007,Master,Married,29543.0,2,0,1,01-04-2014,4,2014,17,3,18,3,4,18,2,3,1,2,7,0,0,0,0,0,0,0,3,11,0,46,41-50,8,8,47,63,0,3,2,2,322,"Frequent but Low Value Customers - High recency, frequent, but low spenders"
2815,Graduation,Married,33183.0,1,0,1,24-02-2014,2,2014,7,5,39,17,15,37,2,4,0,3,7,0,0,0,0,0,0,0,3,11,0,39,31-40,9,9,46,120,0,3,2,2,322,"Frequent but Low Value Customers - High recency, frequent, but low spenders"
3726,PhD,Together,34320.0,1,0,1,16-02-2014,2,2014,4,1,9,3,0,0,1,1,0,2,8,0,0,0,0,0,0,0,3,11,0,28,21-30,10,4,66,17,0,2,1,1,211,Medium Value Customers - Moderately valuable with high recency
1998,Graduation,Single,37697.0,1,0,1,07-02-2014,2,2014,34,6,21,11,4,8,1,2,1,3,6,0,0,0,0,0,0,0,3,11,0,38,31-40,11,7,82,84,0,1,1,2,112,112
833,Master,Married,38452.0,1,1,1,30-03-2014,3,2014,56,0,14,0,0,2,3,3,0,3,7,0,0,0,0,0,0,0,3,11,0,59,51-60,12,9,62,72,0,2,2,2,222,222
4877,Master,Married,38576.0,0,1,1,04-03-2014,3,2014,34,0,7,0,0,0,1,1,0,3,7,0,0,0,0,0,0,0,3,11,0,41,41-50,13,5,2,41,0,5,1,1,511,"New Customers - Low recency, frequent, and low spenders"
7947,Graduation,Married,42231.0,1,1,1,25-03-2014,3,2014,24,0,8,0,1,4,1,1,0,3,5,0,0,0,0,0,0,0,3,11,0,45,41-50,14,5,99,37,0,1,1,1,111,"VIP Customers - Highly valuable, frequent, and big spenders"
2694,Graduation,Married,42664.0,0,1,1,18-03-2014,3,2014,21,0,3,0,0,0,1,1,0,3,6,0,0,0,0,0,0,0,3,11,0,47,41-50,15,5,44,24,0,3,1,1,311,"Potential Promising Customers - Moderate recency, frequent, and low spenders"
7505,PhD,Married,44155.0,1,1,1,19-01-2014,1,2014,22,1,9,0,0,14,1,1,1,2,4,0,0,0,0,0,0,0,3,11,0,57,51-60,16,5,24,46,0,4,1,1,411,411
263,PhD,Single,45576.0,0,0,0,28-05-2014,5,2014,56,19,29,2,14,25,1,3,1,3,8,0,0,0,0,0,0,0,3,11,1,69,61-70,17,8,9,145,0,5,2,2,522,522
4937,2n Cycle,Married,46094.0,1,1,1,10-06-2014,6,2014,12,2,20,3,2,5,1,1,0,3,7,0,0,0,0,0,0,0,3,11,0,41,41-50,18,5,62,44,0,2,1,1,211,Medium Value Customers - Moderately valuable with high recency
