"pid","assessed_value"
1,486525.644784981
2,408828.210466667
3,486525.644784981
4,906834.690733333
5,234125.1758
6,486525.644784981
7,340736.3502
8,219604.411466667
9,1968097.98623333
10,939542.0102
11,512797.3688
12,118152.231366667
13,486525.644784981
14,878724.633
15,294055.4817
16,143377.425266667
17,572277.447633333
18,486525.644784981
19,486525.644784981
20,3245415.96153333
21,129205.8969
22,486525.644784981
23,303266.505766667
24,265966.958633333
25,261652.117
26,326803.627433333
27,367325.703533333
28,486525.644784981
29,245625.5652
30,486525.644784981
31,486525.644784981
32,486525.644784981
33,529641.269533333
34,1177520.61533333
35,268083.618266667
36,298994.075533333
37,486525.644784981
38,498514.377033333
39,486525.644784981
40,219765.375466667
41,550120.098266666
42,147433.825166667
43,418270.4669
44,411266.436466667
45,1077517.8806
46,236443.029033333
47,629976.680433333
48,351891.071333333
49,284461.989566667
50,365525.180233333
51,486525.644784981
52,236687.672566667
53,379219.928666667
54,486525.644784981
55,633164.073633333
56,423574.458766667
57,486525.644784981
58,486525.644784981
59,359451.474933333
60,1060827.88563333
61,402740.171933333
62,486525.644784981
63,378202.259466667
64,266865.219833333
65,486525.644784981
66,486525.644784981
67,486525.644784981
68,968808.946066667
69,165027.557433333
70,274972.739633333
71,196981.173466667
72,557548.877
73,194529.3306
74,225647.554466667
75,651612.6823
76,346975.213833334
77,486525.644784981
78,108665.8121
79,753105.717866667
80,486525.644784981
81,439853.760566667
82,197967.170966667
83,395026.704433333
84,255691.421533333
85,543154.4426
86,1095816.1412
87,1085589.91573333
88,360552.6415
89,209449.3176
90,337675.088833333
91,592429.9376
92,538431.686433333
93,322737.4076
94,584747.5917
95,558476.2786
96,1249720.16536667
97,374515.516666667
98,354868.400466667
99,288357.485066667
100,486525.644784981
101,416318.5726
102,1370238.2764
103,746920.328166667
104,371707.940266667
105,486525.644784981
106,486183.639133333
107,486525.644784981
108,486525.644784981
109,271316.352933333
110,430870.285133333
111,299598.3605
112,274359.085766667
113,435399.794333333
114,486525.644784981
115,1521945.32323333
116,394978.259833333
117,358791.798833333
118,367852.7247
119,1033052.10396667
120,1465009.52406667
121,422402.613566667
122,1056041.43746667
123,95025.1556000001
124,106162.2647
125,283434.5603
126,333031.327933333
127,463400.166066667
128,404601.460966667
129,292184.342433333
130,129003.758766667
131,486525.644784981
132,676232.608833334
133,486525.644784981
134,345751.251966667
135,1422735.71596667
136,403016.2956
137,486525.644784981
138,343043.644433333
139,1296054.9854
140,1273644.59356667
141,231938.992533333
142,486525.644784981
143,63178.6854
144,581325.103633333
145,141413.4879
146,295151.241666667
147,245072.325266667
148,457359.5038
149,331364.7839
150,577706.1611
151,343888.357533333
152,362868.136366667
153,1312603.0621
154,270845.6525
155,486525.644784981
156,486525.644784981
157,208244.371
158,398048.112166667
159,486525.644784981
160,192521.9608
161,176918.3759
162,1060300.5897
163,486525.644784981
164,336022.080466667
165,360493.239533333
166,265769.276833333
167,390656.3596
168,116271.656933333
169,427983.379833334
170,383796.841966667
171,1451386.52106667
172,486525.644784981
173,486525.644784981
174,168243.957933333
175,486525.644784981
176,554324.819533334
177,100656.877233333
178,486525.644784981
179,486525.644784981
180,254998.617433333
181,486525.644784981
182,522872.172633333
183,128845.728766667
184,486525.644784981
185,173738.9653
186,1532195.47733333
187,382868.1133
188,426668.573233333
189,487182.4714
190,232592.208366667
191,365294.1805
192,268872.1739
193,1162963.70206667
194,190309.304966667
195,486525.644784981
196,486525.644784981
197,486525.644784981
198,486525.644784981
199,707981.302633333
200,112278.335333333
201,2467905.6024
202,1185362.0455
203,585145.3514
204,208603.1138
205,182305.337466667
206,217276.564766667
207,300904.097533333
208,263606.663333333
209,1740945.70003333
210,1050598.39446667
211,388217.625733333
212,289692.0465
213,486525.644784981
214,400600.399733333
215,372176.067166667
216,1700123.8299
217,75077.0264666666
218,486525.644784981
219,373432.261866667
220,696841.641633333
221,526826.154033333
222,704488.924533333
223,548143.4772
224,355706.262033333
225,235214.3698
226,743754.3944
227,205684.8495
228,486525.644784981
229,3289970.94693333
230,367257.089833334
231,457493.077866667
232,463396.409633333
233,414099.560333333
234,1087874.9485
235,236690.843
236,661898.524133334
237,146232.564333333
238,486525.644784981
239,342980.9195
240,171881.177933333
241,486525.644784981
242,266683.288333333
243,70031.3836333333
244,247506.613366667
245,521881.6047
246,486525.644784981
247,367655.151866667
248,530686.251333333
249,308608.1834
250,347946.1168
251,822178.177566667
252,486525.644784981
253,965253.5339
254,220033.483433333
255,1389159.59803333
256,418564.608033333
257,999476.6224
258,290978.755466667
259,65464.0335
260,1179985.7421
261,235288.123666667
262,606630.5876
263,496137.8088
264,426916.230633334
265,229970.300066667
266,211574.593766667
267,486525.644784981
268,150958.7722
269,486525.644784981
270,343840.2038
271,486525.644784981
272,457209.694166667
273,430699.6469
274,280619.486666667
275,278623.372133333
276,302815.7982
277,150080.225566667
278,70374.1858666667
279,422790.962133333
280,440506.723533333
281,348175.232033333
282,230850.668933333
283,220140.919866667
284,358523.119666667
285,523815.239333333
286,487691.407933333
287,129661.672333333
288,892300.332533333
289,486525.644784981
290,385237.633333333
291,735227.550133333
292,357238.091033333
293,486525.644784981
294,617249.342633333
295,193987.9057
296,275714.176633333
297,422073.565766667
298,414509.578133333
299,498600.347933333
300,215876.5031
301,105961.288733333
302,354473.770233333
303,432070.569666667
304,199948.1543
305,201011.0214
306,105458.5679
307,208957.554833333
308,384415.3463
309,319126.276833333
310,604808.3862
311,575851.894733333
312,442900.9698
313,94770.8035
314,919789.438733333
315,155771.356666667
316,533049.755366667
317,175200.049233333
318,322603.2897
319,707949.804533333
320,520876.2273
321,499784.172833334
322,373926.8248
323,201411.183333333
324,486525.644784981
325,265443.9779
326,493740.307966667
327,774977.850733334
328,646814.203166667
329,486525.644784981
330,580925.2104
331,204013.482633333
332,326595.172066667
333,210619.007066667
334,264096.4002
335,520463.8873
336,486525.644784981
337,486525.644784981
338,368364.1081
339,445924.783566667
340,325679.1417
341,461591.4534
342,820825.648690476
343,486525.644784981
344,344403.428566667
345,296682.772966666
346,274344.178233333
347,486525.644784981
348,486525.644784981
349,1005395.7568
350,486525.644784981
351,82757.5730333333
352,289218.916166667
353,186222.2589
354,1402957.80623333
355,418765.060633333
356,238958.7944
357,417506.682566667
358,210467.8996
359,1324913.1977
360,211442.948966667
361,256381.2918
362,462141.451766667
363,573855.847966667
364,191332.613866667
365,468244.782866667
366,242034.9446
367,225130.212566667
368,150326.3375
369,292373.081966667
370,435767.3664
371,2605150.06113333
372,262870.0065
373,452000.523266667
374,1540855.1234
375,122854.8242
376,353101.792666667
377,397749.848
378,443319.180766667
379,806280.9074
380,181378.4802
381,335131.616766667
382,358771.678533333
383,299684.254466667
384,102037.536466667
385,127365.721166667
386,143378.4992
387,341419.748666667
388,651872.9956
389,460083.544233333
390,222550.266533333
391,486525.644784981
392,138565.896466667
393,486525.644784981
394,48636.9773666667
395,486525.644784981
396,880189.030266667
397,432799.244466667
398,432437.7233
399,293490.4995
400,1085353.9464
401,486525.644784981
402,353695.178266667
403,486525.644784981
404,106257.8183
405,585540.928433333
406,350221.1632
407,263748.642233333
408,423002.860466667
409,119242.321333333
410,154805.3483
411,486525.644784981
412,195362.874166667
413,392334.6094
414,704836.4907
415,157098.405266667
416,515841.3635
417,394263.6261
418,125577.199933333
419,286454.5563
420,982175.947133333
421,332634.8058
422,486525.644784981
423,185615.397533333
424,262885.618866667
425,624023.900633334
426,1034540.2179
427,1032233.0748
428,346517.148933333
429,330672.824866667
430,145347.0861
431,336314.0875
432,213947.897866667
433,486525.644784981
434,464753.888633333
435,152834.565566667
436,991564.363366667
437,82210.8751
438,217552.1102
439,560954.708866667
440,323145.733766667
441,98771.2248
442,260487.206266667
443,486525.644784981
444,519339.929233333
445,391821.3681
446,69155.6378
447,690253.667966667
448,260206.667966667
449,1038201.03166667
450,299130.113033333
451,486525.644784981
452,1254024.25486667
453,373989.416766667
454,320572.699
455,361173.023966667
456,486525.644784981
457,365220.864066667
458,486525.644784981
459,855481.922666666
460,342686.632166667
461,275624.9296
462,90278.3966666667
463,378033.594733333
464,486525.644784981
465,2556908.87033333
466,513456.576433333
467,486525.644784981
468,450062.921466667
469,1351800.89413333
470,66553.7793333333
471,462399.414433333
472,1745806.13066667
473,249544.650866667
474,432869.340866667
475,486525.644784981
476,183451.242833333
477,307604.600266667
478,354595.101766667
479,726147.345433333
480,324015.578433333
481,1101623.49896667
482,262636.2163
483,486525.644784981
484,490410.8278
485,1213395.64623333
486,667278.493233333
487,492770.0264
488,110978.0449
489,476413.583666667
490,468828.5663
491,486525.644784981
492,113430.559233333
493,544916.9407
494,187433.8823
495,3647729.80773333
496,385708.2245
497,124920.061766667
498,139616.009866667
499,416497.2509
500,100283.619466667
501,563604.774766667
502,422621.3043
503,1317054.52483333
504,229853.590266667
505,228427.618633333
506,437577.6176
507,266522.580666667
508,699040.081033333
509,1069528.69536667
510,592664.778433333
511,604725.118133333
512,685387.934333334
513,486525.644784981
514,462982.767933333
515,337541.4446
516,152385.666033333
517,327018.927833333
518,506632.493466667
519,330852.026833333
520,558157.8718
521,804225.298733333
522,333345.5351
523,486525.644784981
524,582826.2112
525,346833.0499
526,323825.058833333
527,361559.8976
528,409520.146033333
529,129437.207333333
530,563901.020633333
531,1542626.8368
532,2164671.77893333
533,486525.644784981
534,933130.398433333
535,2009163.8681
536,486525.644784981
537,290297.864933333
538,486525.644784981
539,486525.644784981
540,378208.7039
541,87160.7616333333
542,303505.578833333
543,381502.240666667
544,721028.9264
545,506982.587766667
546,388106.536833333
547,486525.644784981
548,189814.829766667
549,486525.644784981
550,295164.7256
551,351506.616066667
552,486525.644784981
553,255683.621733333
554,308284.4492
555,647282.160533333
556,84723.2867666667
557,205645.223833333
558,486525.644784981
559,486525.644784981
560,293013.489666667
561,127480.229133333
562,486525.644784981
563,407744.8451
564,128207.9998
565,486525.644784981
566,436021.5535
567,486525.644784981
568,994252.997133334
569,361278.062366667
570,486525.644784981
571,486525.644784981
572,295372.221066667
573,352776.0112
574,368693.1473
575,545304.237466667
